îNåéì˙,ïΩãœãCâ∑(Åé)
2021/12/23,5.3
2021/12/24,7.6
2021/12/25,7.1
2021/12/26,1.1
2021/12/27,0.3
2021/12/28,2.3
2021/12/29,3.7
2021/12/30,4.6
2021/12/31,1.2
2022/1/1,-0.4
2022/1/2,0.7
2022/1/3,2.2
2022/1/4,2.8
2022/1/5,1.2
2022/1/6,1.7
2022/1/7,2
2022/1/8,1.4
2022/1/9,3.5
2022/1/10,6.2
2022/1/11,4.8
2022/1/12,1.3
2022/1/13,1.3
2022/1/14,1.2
2022/1/15,0.7
2022/1/16,2.9
2022/1/17,4.3
2022/1/18,1.1
2022/1/19,0.4
2022/1/20,1.4
2022/1/21,0.3
2022/1/22,0.4
2022/1/23,0.3
2022/1/24,4.5
2022/1/25,5.3
2022/1/26,5.1
2022/1/27,4.6
2022/1/28,3.2
2022/1/29,2.5
2022/1/30,2
2022/1/31,2.2
2022/2/1,2.6
2022/2/2,3.3
2022/2/3,2.9
2022/2/4,3
2022/2/5,1.3
2022/2/6,0.4
2022/2/7,1.1
2022/2/8,4.3
2022/2/9,4.3
2022/2/10,2.6
2022/2/11,3.8
2022/2/12,3.4
2022/2/13,3.1
2022/2/14,6.2
2022/2/15,6.9
2022/2/16,2.6
2022/2/17,-0.4
2022/2/18,1.7
2022/2/19,3.6
2022/2/20,4.5
2022/2/21,0.6
2022/2/22,1.1
2022/2/23,1.2
2022/2/24,1.1
2022/2/25,2.8
2022/2/26,5.3
2022/2/27,4.7
2022/2/28,6.1
2022/3/1,4.6
2022/3/2,6.9
2022/3/3,5.9
2022/3/4,5.4
2022/3/5,7.4
2022/3/6,3.4
2022/3/7,3.8
2022/3/8,5.2
2022/3/9,5.9
2022/3/10,7.1
2022/3/11,9.7
2022/3/12,12.2
2022/3/13,15
2022/3/14,15.9
2022/3/15,14
2022/3/16,12.3
2022/3/17,11.7
2022/3/18,10.7
2022/3/19,9.7
2022/3/20,7.2
2022/3/21,8.8
2022/3/22,6.4
2022/3/23,6.7
2022/3/24,9.9
2022/3/25,10.9
2022/3/26,13.9
2022/3/27,14.9
2022/3/28,11.4
2022/3/29,12.2
2022/3/30,15.4
2022/3/31,14.5
2022/4/1,9.4
2022/4/2,8.6
2022/4/3,9.8
2022/4/4,13.6
2022/4/5,13.4
2022/4/6,15.2
2022/4/7,15
2022/4/8,14.8
2022/4/9,16
2022/4/10,18.3
2022/4/11,17.8
2022/4/12,19.6
2022/4/13,21.4
2022/4/14,19.3
2022/4/15,16.9
2022/4/16,14.8
2022/4/17,12.3
2022/4/18,12.9
2022/4/19,13.1
2022/4/20,15.6
2022/4/21,15.9
2022/4/22,18.4
2022/4/23,18.4
2022/4/24,16
2022/4/25,20.9
2022/4/26,20.9
2022/4/27,21
2022/4/28,18.6
2022/4/29,15.1
2022/4/30,15.2
2022/5/1,13.3
2022/5/2,12.3
2022/5/3,13
2022/5/4,16.5
2022/5/5,18.7
2022/5/6,17.6
2022/5/7,20.5
2022/5/8,18.3
2022/5/9,12.9
2022/5/10,16.2
2022/5/11,18.5
2022/5/12,18.2
2022/5/13,19.8
2022/5/14,20.3
2022/5/15,14.9
2022/5/16,16
2022/5/17,15.9
2022/5/18,18.6
2022/5/19,19.6
2022/5/20,19.4
2022/5/21,17.5
2022/5/22,20.7
2022/5/23,20.6
2022/5/24,21
2022/5/25,21.7
2022/5/26,19.1
2022/5/27,21.8
2022/5/28,20.6
2022/5/29,23.3
2022/5/30,22.9
2022/5/31,19.4
2022/6/1,19.2
2022/6/2,22.4
2022/6/3,23.1
2022/6/4,21.4
2022/6/5,22.2
2022/6/6,18.8
2022/6/7,20
2022/6/8,19.9
2022/6/9,21.7
2022/6/10,22.3
2022/6/11,20.8
2022/6/12,22.9
2022/6/13,21.6
2022/6/14,18.6
2022/6/15,18
2022/6/16,22.1
2022/6/17,24.4
2022/6/18,22.5
2022/6/19,25.4
2022/6/20,25.7
2022/6/21,23.7
2022/6/22,23.5
2022/6/23,26
2022/6/24,27.8
2022/6/25,26.7
2022/6/26,26.1
2022/6/27,28.8
2022/6/28,29.9
2022/6/29,30.1
2022/6/30,30.8
2022/7/1,30.9
2022/7/2,29.3
2022/7/3,24
2022/7/4,23.9
2022/7/5,24.2
2022/7/6,26.6
2022/7/7,27
2022/7/8,27
2022/7/9,25.2
2022/7/10,23.2
2022/7/11,27.5
2022/7/12,25.3
2022/7/13,27.4
2022/7/14,24.7
2022/7/15,24.2
2022/7/16,23.9
2022/7/17,25.5
2022/7/18,26.3
2022/7/19,25.1
2022/7/20,27.2
2022/7/21,25.6
2022/7/22,27.2
2022/7/23,26.9
2022/7/24,27.1
2022/7/25,29.1
2022/7/26,28.3
2022/7/27,27.1
2022/7/28,29.2
2022/7/29,29.4
2022/7/30,29.3
2022/7/31,30
2022/8/1,30.4
2022/8/2,31
2022/8/3,30.4
2022/8/4,24.6
2022/8/5,26.6
2022/8/6,27
2022/8/7,28.6
2022/8/8,28.3
2022/8/9,28.7
2022/8/10,27.8
2022/8/11,29.1
2022/8/12,27.4
2022/8/13,28.5
2022/8/14,26.8
2022/8/15,27.4
2022/8/16,28.1
2022/8/17,25.3
2022/8/18,25.8
2022/8/19,25.9
2022/8/20,26.3
2022/8/21,27
2022/8/22,28
2022/8/23,27.6
2022/8/24,28.9
2022/8/25,26.3
2022/8/26,27.2
2022/8/27,26
2022/8/28,25.8
2022/8/29,25.5
2022/8/30,25.5
2022/8/31,27.2
